PM2.5,PM10,CO,NO2,SO2,O3,Time,hour
121.0,158.0,2.45,54.0,11.0,2.0,2019-02-24 01:00:00,2019-02-24 01:00:00
124.0,147.0,2.36,49.0,12.0,2.0,2019-02-24 02:00:00,2019-02-24 02:00:00
109.0,136.0,2.34,46.0,11.0,3.0,2019-02-24 03:00:00,2019-02-24 03:00:00
109.0,136.0,2.31,51.0,12.0,2.0,2019-02-24 04:00:00,2019-02-24 04:00:00
111.0,146.0,2.39,60.0,11.0,2.0,2019-02-24 05:00:00,2019-02-24 05:00:00
106.0,129.0,2.43,59.0,11.0,3.0,2019-02-24 06:00:00,2019-02-24 06:00:00
84.0,109.0,2.56,61.0,13.0,4.0,2019-02-24 07:00:00,2019-02-24 07:00:00
78.0,103.0,2.58,67.0,13.0,5.0,2019-02-24 08:00:00,2019-02-24 08:00:00
114.0,141.0,2.74,80.0,15.0,7.0,2019-02-24 09:00:00,2019-02-24 09:00:00
135.0,165.0,2.66,95.0,16.0,14.0,2019-02-24 10:00:00,2019-02-24 10:00:00
159.0,201.0,1.53,79.0,19.0,90.0,2019-02-25 18:00:00,2019-02-25 18:00:00
142.0,178.0,1.29,66.0,17.0,75.0,2019-02-25 19:00:00,2019-02-25 19:00:00
101.0,129.0,1.34,94.0,15.0,32.0,2019-02-25 20:00:00,2019-02-25 20:00:00
93.0,125.0,1.27,86.0,14.0,24.0,2019-02-25 21:00:00,2019-02-25 21:00:00
73.0,97.0,1.1,46.0,13.0,50.0,2019-02-25 22:00:00,2019-02-25 22:00:00
63.0,84.0,1.16,36.0,12.0,58.0,2019-02-25 23:00:00,2019-02-25 23:00:00
72.0,81.0,1.29,30.0,12.0,58.0,2019-02-26 00:00:00,2019-02-26 00:00:00
88.0,97.0,1.31,37.0,13.0,45.0,2019-02-26 01:00:00,2019-02-26 01:00:00
101.0,116.0,1.35,36.0,13.0,41.0,2019-02-26 02:00:00,2019-02-26 02:00:00
109.0,122.0,1.35,34.0,12.0,41.0,2019-02-26 03:00:00,2019-02-26 03:00:00
100.0,109.0,1.46,30.0,12.0,42.0,2019-02-26 04:00:00,2019-02-26 04:00:00
105.0,115.0,1.61,34.0,12.0,51.0,2019-02-26 07:00:00,2019-02-26 07:00:00
108.0,120.0,1.45,26.0,12.0,69.0,2019-02-26 08:00:00,2019-02-26 08:00:00
84.0,106.0,1.34,29.0,14.0,92.0,2019-02-26 09:00:00,2019-02-26 09:00:00
121.0,247.84499999999935,0.63,33.0,10.0,73.0,2019-02-26 12:00:00,2019-02-26 12:00:00
36.0,83.0,1.24,44.0,10.0,26.0,2019-02-26 16:00:00,2019-02-26 16:00:00
37.0,53.0,1.22,38.0,9.0,37.0,2019-02-26 17:00:00,2019-02-26 17:00:00
33.0,47.0,1.11,27.0,9.0,44.0,2019-02-26 18:00:00,2019-02-26 18:00:00
30.0,35.0,1.12,36.0,8.0,47.0,2019-02-26 19:00:00,2019-02-26 19:00:00
27.0,32.0,1.07,36.0,8.0,45.0,2019-02-26 20:00:00,2019-02-26 20:00:00
26.0,28.0,1.05,30.0,8.0,52.0,2019-02-26 21:00:00,2019-02-26 21:00:00
27.0,35.0,1.02,26.0,9.0,54.0,2019-02-26 22:00:00,2019-02-26 22:00:00
27.0,41.0,1.02,21.0,9.0,59.0,2019-02-26 23:00:00,2019-02-26 23:00:00
29.0,32.0,1.0,20.0,9.0,63.0,2019-02-27 00:00:00,2019-02-27 00:00:00
30.0,38.0,0.98,23.0,9.0,63.0,2019-02-27 01:00:00,2019-02-27 01:00:00
33.0,40.0,1.01,16.0,9.0,66.0,2019-02-27 02:00:00,2019-02-27 02:00:00
35.0,37.0,0.94,17.0,8.0,70.0,2019-02-27 03:00:00,2019-02-27 03:00:00
32.0,28.0,0.96,18.0,8.0,68.0,2019-02-27 04:00:00,2019-02-27 04:00:00
35.0,42.0,1.04,21.0,9.0,66.0,2019-02-27 05:00:00,2019-02-27 05:00:00
41.0,34.0,1.21,32.0,9.0,57.0,2019-02-27 06:00:00,2019-02-27 06:00:00
39.0,43.0,1.2,33.0,9.0,55.0,2019-02-27 07:00:00,2019-02-27 07:00:00
38.0,46.0,1.13,33.0,9.0,56.0,2019-02-27 08:00:00,2019-02-27 08:00:00
38.0,56.0,1.1,33.0,9.0,56.0,2019-02-27 09:00:00,2019-02-27 09:00:00
43.0,46.0,1.15,39.0,9.0,56.0,2019-02-27 10:00:00,2019-02-27 10:00:00
47.0,62.0,1.18,40.0,10.0,57.0,2019-02-27 11:00:00,2019-02-27 11:00:00
51.0,57.0,1.21,29.0,9.0,66.0,2019-02-27 12:00:00,2019-02-27 12:00:00
53.0,53.0,1.14,26.0,9.0,77.0,2019-02-27 13:00:00,2019-02-27 13:00:00
46.0,45.0,1.22,30.0,9.0,79.0,2019-02-27 14:00:00,2019-02-27 14:00:00
47.0,48.0,1.22,35.0,9.0,77.0,2019-02-27 15:00:00,2019-02-27 15:00:00
48.0,51.0,1.2,53.0,9.0,60.0,2019-02-27 17:00:00,2019-02-27 17:00:00
44.0,51.0,1.12,38.0,9.0,68.0,2019-02-27 18:00:00,2019-02-27 18:00:00
45.0,42.0,1.06,45.0,9.0,63.0,2019-02-27 19:00:00,2019-02-27 19:00:00
42.0,32.0,1.02,20.0,9.0,70.0,2019-02-27 23:00:00,2019-02-27 23:00:00
48.0,49.0,1.07,28.0,9.0,61.0,2019-02-28 02:00:00,2019-02-28 02:00:00
71.0,73.0,1.14,23.0,9.0,58.0,2019-02-28 05:00:00,2019-02-28 05:00:00
58.0,65.0,1.17,36.0,9.0,50.0,2019-02-28 06:00:00,2019-02-28 06:00:00
55.0,66.0,1.17,38.0,9.0,49.0,2019-02-28 07:00:00,2019-02-28 07:00:00
53.0,62.0,1.2,38.0,9.0,49.0,2019-02-28 08:00:00,2019-02-28 08:00:00
52.0,59.0,1.11,31.0,10.0,55.0,2019-02-28 09:00:00,2019-02-28 09:00:00
50.0,56.0,1.17,38.0,10.0,58.0,2019-02-28 10:00:00,2019-02-28 10:00:00
48.0,53.0,1.19,42.0,10.0,56.0,2019-02-28 11:00:00,2019-02-28 11:00:00
58.0,64.0,1.27,57.0,11.0,45.0,2019-02-28 12:00:00,2019-02-28 12:00:00
63.0,79.0,1.22,53.0,11.0,52.0,2019-02-28 13:00:00,2019-02-28 13:00:00
54.0,77.0,1.22,47.0,10.0,63.0,2019-02-28 14:00:00,2019-02-28 14:00:00
52.0,66.0,1.16,42.0,10.0,68.0,2019-02-28 15:00:00,2019-02-28 15:00:00
48.0,62.0,1.21,51.0,10.0,64.0,2019-02-28 16:00:00,2019-02-28 16:00:00
57.0,75.0,1.3,52.0,10.0,67.0,2019-02-28 17:00:00,2019-02-28 17:00:00
70.0,114.0,1.48,67.0,10.0,65.0,2019-02-28 18:00:00,2019-02-28 18:00:00
77.0,92.0,1.59,69.0,10.0,56.0,2019-02-28 19:00:00,2019-02-28 19:00:00
76.0,105.0,1.91,69.0,10.0,43.0,2019-02-28 20:00:00,2019-02-28 20:00:00
79.0,106.0,1.81,68.0,10.0,39.0,2019-02-28 21:00:00,2019-02-28 21:00:00
93.0,106.0,1.74,68.0,10.0,39.0,2019-02-28 22:00:00,2019-02-28 22:00:00
84.0,106.0,1.74,62.0,10.0,44.0,2019-02-28 23:00:00,2019-02-28 23:00:00
81.0,100.0,1.51,66.0,10.0,41.0,2019-03-01 00:00:00,2019-03-01 00:00:00
90.0,109.0,1.33,64.0,10.0,42.0,2019-03-01 01:00:00,2019-03-01 01:00:00
77.0,105.0,1.38,63.0,10.0,45.0,2019-03-01 02:00:00,2019-03-01 02:00:00
74.0,90.0,1.32,49.0,10.0,48.0,2019-03-01 03:00:00,2019-03-01 03:00:00
72.0,83.0,1.38,49.0,10.0,50.0,2019-03-01 04:00:00,2019-03-01 04:00:00
72.0,89.0,1.58,54.0,12.0,43.0,2019-03-01 05:00:00,2019-03-01 05:00:00
69.0,89.0,2.03,63.0,12.0,37.0,2019-03-01 06:00:00,2019-03-01 06:00:00
70.0,92.0,1.96,57.0,12.0,35.0,2019-03-01 07:00:00,2019-03-01 07:00:00
58.0,88.0,1.89,54.0,13.0,45.0,2019-03-01 08:00:00,2019-03-01 08:00:00
53.0,89.0,1.98,58.0,14.0,46.0,2019-03-01 09:00:00,2019-03-01 09:00:00
55.0,86.0,1.6,52.0,13.0,57.0,2019-03-01 10:00:00,2019-03-01 10:00:00
48.0,79.0,1.48,45.0,13.0,71.0,2019-03-01 11:00:00,2019-03-01 11:00:00
64.0,82.0,1.6,50.0,13.0,78.0,2019-03-01 12:00:00,2019-03-01 12:00:00
65.0,95.0,1.53,42.0,12.0,85.0,2019-03-01 13:00:00,2019-03-01 13:00:00
59.0,90.0,1.56,44.0,12.0,90.0,2019-03-01 14:00:00,2019-03-01 14:00:00
71.0,103.0,1.65,52.0,11.0,91.0,2019-03-01 15:00:00,2019-03-01 15:00:00
80.0,107.0,1.79,62.0,11.0,87.0,2019-03-01 16:00:00,2019-03-01 16:00:00
85.0,114.0,1.88,65.0,11.0,84.0,2019-03-01 17:00:00,2019-03-01 17:00:00
104.0,122.0,2.2,64.0,11.0,72.0,2019-03-01 18:00:00,2019-03-01 18:00:00
167.0,193.0,2.1,49.0,10.0,72.0,2019-03-01 19:00:00,2019-03-01 19:00:00
182.8199999999997,207.0,2.02,36.0,10.0,81.0,2019-03-01 20:00:00,2019-03-01 20:00:00
161.0,189.0,1.83,28.0,10.0,100.0,2019-03-01 21:00:00,2019-03-01 21:00:00
141.0,156.0,1.85,25.0,10.0,105.0,2019-03-01 22:00:00,2019-03-01 22:00:00
120.0,149.0,1.88,24.0,11.0,102.0,2019-03-01 23:00:00,2019-03-01 23:00:00
108.0,138.0,1.81,26.0,11.0,94.0,2019-03-02 00:00:00,2019-03-02 00:00:00
104.0,124.0,1.68,23.0,11.0,90.0,2019-03-02 01:00:00,2019-03-02 01:00:00
75.0,99.0,1.66,22.0,11.0,87.0,2019-03-02 02:00:00,2019-03-02 02:00:00
80.0,89.0,1.73,22.0,11.0,89.0,2019-03-02 03:00:00,2019-03-02 03:00:00
86.0,100.0,1.84,23.0,11.0,88.0,2019-03-02 04:00:00,2019-03-02 04:00:00
84.0,103.0,1.7,26.0,11.0,93.0,2019-03-02 05:00:00,2019-03-02 05:00:00
71.0,91.0,1.86,44.0,11.0,74.0,2019-03-02 06:00:00,2019-03-02 06:00:00
96.0,118.0,1.96,41.0,11.0,69.0,2019-03-02 07:00:00,2019-03-02 07:00:00
97.0,114.0,1.95,43.0,11.0,70.0,2019-03-02 08:00:00,2019-03-02 08:00:00
68.0,86.0,1.72,39.0,10.0,83.0,2019-03-02 09:00:00,2019-03-02 09:00:00
70.0,81.0,1.86,37.0,10.0,96.0,2019-03-02 10:00:00,2019-03-02 10:00:00
102.0,113.0,1.98,46.0,10.0,94.0,2019-03-02 11:00:00,2019-03-02 11:00:00
150.0,157.0,1.96,38.0,10.0,102.0,2019-03-02 12:00:00,2019-03-02 12:00:00
151.0,166.0,1.74,36.0,10.0,97.0,2019-03-02 13:00:00,2019-03-02 13:00:00
102.0,118.0,1.56,30.0,11.0,99.0,2019-03-02 14:00:00,2019-03-02 14:00:00
60.0,83.0,1.57,34.0,10.0,101.0,2019-03-02 15:00:00,2019-03-02 15:00:00
74.0,90.0,1.58,39.0,10.0,98.0,2019-03-02 16:00:00,2019-03-02 16:00:00
67.0,99.0,1.64,40.0,10.0,94.0,2019-03-02 17:00:00,2019-03-02 17:00:00
57.0,78.0,1.49,38.0,10.0,89.0,2019-03-02 18:00:00,2019-03-02 18:00:00
45.0,69.0,1.43,38.0,10.0,89.0,2019-03-02 19:00:00,2019-03-02 19:00:00
42.0,65.0,1.45,41.0,10.0,84.0,2019-03-02 20:00:00,2019-03-02 20:00:00
44.0,73.0,1.43,36.0,10.0,91.0,2019-03-02 21:00:00,2019-03-02 21:00:00
44.0,67.0,1.5,40.0,10.0,93.0,2019-03-02 22:00:00,2019-03-02 22:00:00
46.0,71.0,1.48,81.0,11.0,63.0,2019-03-02 23:00:00,2019-03-02 23:00:00
50.0,87.0,1.59,65.0,10.0,49.0,2019-03-03 00:00:00,2019-03-03 00:00:00
51.0,85.0,1.41,54.0,11.0,60.0,2019-03-03 01:00:00,2019-03-03 01:00:00
49.0,85.0,1.37,39.0,11.0,72.0,2019-03-03 02:00:00,2019-03-03 02:00:00
51.0,74.0,1.39,35.0,11.0,78.0,2019-03-03 03:00:00,2019-03-03 03:00:00
51.0,75.0,1.4,36.0,11.0,78.0,2019-03-03 04:00:00,2019-03-03 04:00:00
58.0,76.0,1.44,44.0,11.0,77.0,2019-03-03 05:00:00,2019-03-03 05:00:00
61.0,84.0,1.45,49.0,11.0,62.0,2019-03-03 06:00:00,2019-03-03 06:00:00
68.0,96.0,1.56,48.0,10.0,58.0,2019-03-03 07:00:00,2019-03-03 07:00:00
73.0,90.0,1.56,57.0,11.0,58.0,2019-03-03 08:00:00,2019-03-03 08:00:00
68.0,101.0,1.68,57.0,11.0,57.0,2019-03-03 09:00:00,2019-03-03 09:00:00
69.0,96.0,1.64,55.0,12.0,65.0,2019-03-03 10:00:00,2019-03-03 10:00:00
68.0,96.0,1.79,45.0,11.0,71.0,2019-03-03 11:00:00,2019-03-03 11:00:00
60.0,87.0,1.68,26.0,11.0,94.0,2019-03-03 12:00:00,2019-03-03 12:00:00
51.0,71.0,1.38,25.0,10.0,104.0,2019-03-03 13:00:00,2019-03-03 13:00:00
38.0,65.0,1.33,25.0,10.0,104.0,2019-03-03 14:00:00,2019-03-03 14:00:00
41.0,61.0,1.33,27.0,9.0,106.0,2019-03-03 15:00:00,2019-03-03 15:00:00
38.0,67.0,1.41,32.0,9.0,101.0,2019-03-03 16:00:00,2019-03-03 16:00:00
56.0,87.0,1.44,29.0,9.0,99.0,2019-03-03 17:00:00,2019-03-03 17:00:00
57.0,91.0,1.42,25.0,9.0,98.0,2019-03-03 18:00:00,2019-03-03 18:00:00
52.0,80.0,1.43,31.0,9.0,93.0,2019-03-03 19:00:00,2019-03-03 19:00:00
53.0,76.0,1.36,27.0,9.0,88.0,2019-03-03 20:00:00,2019-03-03 20:00:00
61.0,76.0,1.42,33.0,9.0,82.0,2019-03-03 21:00:00,2019-03-03 21:00:00
62.0,77.0,1.4,29.0,9.0,81.0,2019-03-03 22:00:00,2019-03-03 22:00:00
66.0,83.0,1.39,32.0,9.0,79.0,2019-03-03 23:00:00,2019-03-03 23:00:00
81.0,99.0,1.38,30.0,9.0,75.0,2019-03-04 00:00:00,2019-03-04 00:00:00
69.0,92.0,1.4,28.0,9.0,75.0,2019-03-04 01:00:00,2019-03-04 01:00:00
69.0,92.0,1.42,25.0,9.0,76.0,2019-03-04 02:00:00,2019-03-04 02:00:00
68.0,90.0,1.48,29.0,10.0,70.0,2019-03-04 03:00:00,2019-03-04 03:00:00
75.0,113.0,1.58,34.0,9.0,65.0,2019-03-04 04:00:00,2019-03-04 04:00:00
78.0,104.0,1.77,45.0,10.0,61.0,2019-03-04 05:00:00,2019-03-04 05:00:00
84.0,107.0,1.89,60.0,11.0,30.0,2019-03-04 06:00:00,2019-03-04 06:00:00
82.0,128.0,1.92,68.0,12.0,15.0,2019-03-04 07:00:00,2019-03-04 07:00:00
94.0,135.0,1.84,60.0,11.0,28.0,2019-03-04 08:00:00,2019-03-04 08:00:00
87.0,117.0,1.98,39.0,12.0,59.0,2019-03-04 09:00:00,2019-03-04 09:00:00
84.0,102.0,1.78,36.0,11.0,73.0,2019-03-04 10:00:00,2019-03-04 10:00:00
82.0,111.0,1.69,32.0,11.0,83.0,2019-03-04 11:00:00,2019-03-04 11:00:00
85.0,113.0,1.53,24.0,10.0,97.0,2019-03-04 12:00:00,2019-03-04 12:00:00
67.0,96.0,1.52,22.0,9.0,111.0,2019-03-04 13:00:00,2019-03-04 13:00:00
93.0,127.0,1.13,50.0,11.0,82.0,2019-03-04 21:00:00,2019-03-04 21:00:00
97.0,123.0,1.23,33.0,10.0,96.0,2019-03-04 22:00:00,2019-03-04 22:00:00
95.0,134.0,1.06,26.0,11.0,102.0,2019-03-04 23:00:00,2019-03-04 23:00:00
87.0,118.0,1.04,25.0,11.0,103.0,2019-03-05 00:00:00,2019-03-05 00:00:00
88.0,109.0,1.16,26.0,11.0,96.0,2019-03-05 01:00:00,2019-03-05 01:00:00
98.0,113.0,1.2,24.0,11.0,88.0,2019-03-05 02:00:00,2019-03-05 02:00:00
99.0,132.0,1.18,26.0,11.0,85.0,2019-03-05 03:00:00,2019-03-05 03:00:00
99.0,128.0,1.28,31.0,11.0,78.0,2019-03-05 04:00:00,2019-03-05 04:00:00
99.0,129.0,1.28,32.0,11.0,77.0,2019-03-05 05:00:00,2019-03-05 05:00:00
93.0,119.0,1.25,34.0,11.0,74.0,2019-03-05 06:00:00,2019-03-05 06:00:00
94.0,116.0,1.27,37.0,11.0,71.0,2019-03-05 07:00:00,2019-03-05 07:00:00
91.0,119.0,1.22,44.0,10.0,65.0,2019-03-05 08:00:00,2019-03-05 08:00:00
91.0,103.0,1.29,52.0,10.0,56.0,2019-03-05 09:00:00,2019-03-05 09:00:00
81.0,89.0,1.24,39.0,10.0,64.0,2019-03-05 10:00:00,2019-03-05 10:00:00
78.0,85.0,1.28,36.0,10.0,74.0,2019-03-05 11:00:00,2019-03-05 11:00:00
57.0,63.0,1.1,38.0,10.0,63.0,2019-03-05 17:00:00,2019-03-05 17:00:00
59.0,63.0,1.3,47.0,10.0,50.0,2019-03-05 19:00:00,2019-03-05 19:00:00
89.0,92.0,1.19,30.0,10.0,65.0,2019-03-06 00:00:00,2019-03-06 00:00:00
93.0,97.0,1.11,20.0,9.0,77.0,2019-03-06 01:00:00,2019-03-06 01:00:00
99.0,105.0,1.18,33.0,10.0,53.0,2019-03-06 04:00:00,2019-03-06 04:00:00
91.0,101.0,1.27,36.0,9.0,68.0,2019-03-06 05:00:00,2019-03-06 05:00:00
143.0,160.0,3.015604999999994,53.0,10.0,40.0,2019-03-06 07:00:00,2019-03-06 07:00:00
176.0,185.0,3.015604999999994,49.0,11.0,44.0,2019-03-06 08:00:00,2019-03-06 08:00:00
182.8199999999997,214.0,2.3,49.0,12.0,48.0,2019-03-06 09:00:00,2019-03-06 09:00:00
111.0,131.0,1.67,35.0,11.0,68.0,2019-03-06 10:00:00,2019-03-06 10:00:00
87.0,110.0,1.84,40.0,12.0,67.0,2019-03-06 11:00:00,2019-03-06 11:00:00
93.0,114.0,2.11,39.0,13.0,73.0,2019-03-06 12:00:00,2019-03-06 12:00:00
107.0,139.0,2.09,44.0,14.0,76.0,2019-03-06 13:00:00,2019-03-06 13:00:00
111.0,138.0,1.74,36.0,12.0,91.0,2019-03-06 14:00:00,2019-03-06 14:00:00
102.0,119.0,1.74,45.0,12.0,89.0,2019-03-06 15:00:00,2019-03-06 15:00:00
94.0,129.0,1.21,42.0,11.0,93.0,2019-03-06 16:00:00,2019-03-06 16:00:00
54.0,100.0,1.58,98.0,10.0,48.0,2019-03-06 17:00:00,2019-03-06 17:00:00
73.0,113.0,2.14,117.0,13.0,12.0,2019-03-06 18:00:00,2019-03-06 18:00:00
96.0,170.0,2.15,117.0,13.0,12.0,2019-03-06 19:00:00,2019-03-06 19:00:00
87.0,155.0,1.47,110.0,12.0,21.0,2019-03-06 20:00:00,2019-03-06 20:00:00
54.0,110.0,1.22,36.0,12.0,76.0,2019-03-06 21:00:00,2019-03-06 21:00:00
90.0,133.0,1.3,31.0,11.0,82.0,2019-03-06 22:00:00,2019-03-06 22:00:00
94.0,145.0,1.14,18.0,10.0,88.0,2019-03-06 23:00:00,2019-03-06 23:00:00
80.0,132.0,1.36,19.0,10.0,88.0,2019-03-07 00:00:00,2019-03-07 00:00:00
116.0,153.0,1.37,18.0,10.0,90.0,2019-03-07 01:00:00,2019-03-07 01:00:00
116.0,147.0,1.44,22.0,11.0,80.0,2019-03-07 02:00:00,2019-03-07 02:00:00
137.0,161.0,1.36,22.0,11.0,79.0,2019-03-07 03:00:00,2019-03-07 03:00:00
116.0,144.0,1.15,27.0,10.0,74.0,2019-03-07 04:00:00,2019-03-07 04:00:00
70.0,103.0,1.08,24.0,10.0,64.0,2019-03-07 05:00:00,2019-03-07 05:00:00
63.0,102.0,1.0,30.0,11.0,60.0,2019-03-07 06:00:00,2019-03-07 06:00:00
47.0,91.0,0.92,24.0,10.0,62.0,2019-03-07 07:00:00,2019-03-07 07:00:00
36.0,92.0,0.95,24.0,10.0,61.0,2019-03-07 08:00:00,2019-03-07 08:00:00
32.0,88.0,0.98,22.0,11.0,65.0,2019-03-07 09:00:00,2019-03-07 09:00:00
37.0,82.0,0.94,23.0,10.0,66.0,2019-03-07 10:00:00,2019-03-07 10:00:00
31.0,71.0,0.79,18.0,10.0,66.0,2019-03-07 11:00:00,2019-03-07 11:00:00
22.0,55.0,0.8,18.0,10.0,70.0,2019-03-07 12:00:00,2019-03-07 12:00:00
14.0,50.0,0.79,17.0,10.0,73.0,2019-03-07 13:00:00,2019-03-07 13:00:00
20.0,46.0,0.79,15.0,10.0,80.0,2019-03-07 14:00:00,2019-03-07 14:00:00
32.0,45.0,0.83,19.0,10.0,78.0,2019-03-07 15:00:00,2019-03-07 15:00:00
25.0,47.0,0.9,23.0,10.0,80.0,2019-03-07 16:00:00,2019-03-07 16:00:00
24.0,55.0,0.9,28.0,11.0,80.0,2019-03-07 17:00:00,2019-03-07 17:00:00
30.0,58.0,0.88,35.0,10.0,79.0,2019-03-07 18:00:00,2019-03-07 18:00:00
36.0,61.0,0.91,42.0,11.0,62.0,2019-03-07 19:00:00,2019-03-07 19:00:00
32.0,67.0,0.97,53.0,10.0,44.0,2019-03-07 22:00:00,2019-03-07 22:00:00
25.0,66.0,0.94,33.0,10.0,50.0,2019-03-07 23:00:00,2019-03-07 23:00:00
31.0,56.0,0.96,26.0,10.0,56.0,2019-03-08 00:00:00,2019-03-08 00:00:00
30.0,49.0,0.9,26.0,10.0,59.0,2019-03-08 02:00:00,2019-03-08 02:00:00
28.0,49.0,1.0,33.0,10.0,49.0,2019-03-08 03:00:00,2019-03-08 03:00:00
34.0,55.0,1.42,44.0,11.0,37.0,2019-03-08 05:00:00,2019-03-08 05:00:00
43.0,67.0,1.6,55.0,12.0,29.0,2019-03-08 06:00:00,2019-03-08 06:00:00
46.0,86.0,1.35,41.0,12.0,42.0,2019-03-08 07:00:00,2019-03-08 07:00:00
45.0,81.0,1.25,33.0,13.0,52.0,2019-03-08 08:00:00,2019-03-08 08:00:00
38.0,66.0,1.08,31.0,11.0,57.0,2019-03-08 09:00:00,2019-03-08 09:00:00
25.0,59.0,0.93,25.0,10.0,65.0,2019-03-08 10:00:00,2019-03-08 10:00:00
18.0,47.0,0.9,23.0,10.0,66.0,2019-03-08 11:00:00,2019-03-08 11:00:00
23.0,48.0,0.96,21.0,10.0,69.0,2019-03-08 12:00:00,2019-03-08 12:00:00
19.0,49.0,0.93,23.0,10.0,72.0,2019-03-08 13:00:00,2019-03-08 13:00:00
25.0,52.0,0.95,28.0,10.0,71.0,2019-03-08 14:00:00,2019-03-08 14:00:00
27.0,60.0,1.04,28.0,11.0,77.0,2019-03-08 15:00:00,2019-03-08 15:00:00
32.0,60.0,1.02,33.0,11.0,72.0,2019-03-08 16:00:00,2019-03-08 16:00:00
35.0,70.0,1.07,37.0,11.0,77.0,2019-03-08 17:00:00,2019-03-08 17:00:00
39.0,70.0,1.03,33.0,11.0,76.0,2019-03-08 18:00:00,2019-03-08 18:00:00
36.0,63.0,0.97,30.0,10.0,82.0,2019-03-08 19:00:00,2019-03-08 19:00:00
34.0,54.0,1.02,29.0,10.0,74.0,2019-03-08 20:00:00,2019-03-08 20:00:00
27.0,49.0,0.93,30.0,11.0,75.0,2019-03-08 21:00:00,2019-03-08 21:00:00
27.0,52.0,0.95,26.0,10.0,70.0,2019-03-08 22:00:00,2019-03-08 22:00:00
33.0,50.0,0.96,28.0,10.0,63.0,2019-03-08 23:00:00,2019-03-08 23:00:00
38.0,59.0,1.0,27.0,11.0,59.0,2019-03-09 00:00:00,2019-03-09 00:00:00
37.0,60.0,1.0,25.0,10.0,60.0,2019-03-09 01:00:00,2019-03-09 01:00:00
36.0,58.0,0.98,23.0,11.0,64.0,2019-03-09 02:00:00,2019-03-09 02:00:00
34.0,51.0,1.01,22.0,10.0,58.0,2019-03-09 03:00:00,2019-03-09 03:00:00
37.0,54.0,1.04,23.0,11.0,56.0,2019-03-09 04:00:00,2019-03-09 04:00:00
38.0,53.0,1.11,28.0,10.0,47.0,2019-03-09 05:00:00,2019-03-09 05:00:00
40.0,59.0,1.15,38.0,11.0,46.0,2019-03-09 06:00:00,2019-03-09 06:00:00
38.0,68.0,1.12,40.0,11.0,45.0,2019-03-09 07:00:00,2019-03-09 07:00:00
43.0,84.0,1.15,41.0,12.0,47.0,2019-03-09 08:00:00,2019-03-09 08:00:00
49.0,77.0,1.25,46.0,12.0,46.0,2019-03-09 09:00:00,2019-03-09 09:00:00
54.0,90.0,1.67,54.0,12.0,44.0,2019-03-09 10:00:00,2019-03-09 10:00:00
50.0,84.0,1.59,57.0,13.0,47.0,2019-03-09 11:00:00,2019-03-09 11:00:00
56.0,90.0,1.52,56.0,12.0,45.0,2019-03-09 12:00:00,2019-03-09 12:00:00
53.0,96.0,1.47,53.0,12.0,59.0,2019-03-09 13:00:00,2019-03-09 13:00:00
54.0,95.0,1.33,36.0,12.0,78.0,2019-03-09 14:00:00,2019-03-09 14:00:00
52.0,91.0,1.61,38.0,12.0,83.0,2019-03-09 15:00:00,2019-03-09 15:00:00
64.0,99.0,1.87,72.0,13.0,63.0,2019-03-09 16:00:00,2019-03-09 16:00:00
83.0,137.0,1.5,56.0,12.0,76.0,2019-03-09 17:00:00,2019-03-09 17:00:00
73.0,105.0,1.52,56.0,11.0,78.0,2019-03-09 18:00:00,2019-03-09 18:00:00
74.0,113.0,1.73,81.0,11.0,39.0,2019-03-09 19:00:00,2019-03-09 19:00:00
81.0,120.0,1.66,89.0,11.0,32.0,2019-03-09 20:00:00,2019-03-09 20:00:00
90.0,131.0,1.72,95.0,12.0,17.0,2019-03-09 21:00:00,2019-03-09 21:00:00
90.0,130.0,1.51,92.0,11.0,34.0,2019-03-09 22:00:00,2019-03-09 22:00:00
94.0,124.0,1.44,82.0,11.0,36.0,2019-03-09 23:00:00,2019-03-09 23:00:00
88.0,121.0,1.57,81.0,10.0,29.0,2019-03-10 00:00:00,2019-03-10 00:00:00
89.0,118.0,1.53,89.0,11.0,27.0,2019-03-10 01:00:00,2019-03-10 01:00:00
89.0,116.0,1.44,77.0,11.0,36.0,2019-03-10 02:00:00,2019-03-10 02:00:00
86.0,113.0,1.61,77.0,12.0,27.0,2019-03-10 03:00:00,2019-03-10 03:00:00
95.0,127.0,1.71,75.0,13.0,28.0,2019-03-10 04:00:00,2019-03-10 04:00:00
101.0,124.0,1.74,51.0,13.0,32.0,2019-03-10 05:00:00,2019-03-10 05:00:00
104.0,126.0,2.18,46.0,12.0,33.0,2019-03-10 06:00:00,2019-03-10 06:00:00
128.0,157.0,1.96,42.0,12.0,39.0,2019-03-10 07:00:00,2019-03-10 07:00:00
125.0,144.0,1.39,37.0,12.0,47.0,2019-03-10 08:00:00,2019-03-10 08:00:00
105.0,116.0,1.47,39.0,11.0,54.0,2019-03-10 09:00:00,2019-03-10 09:00:00
85.0,108.0,1.45,34.0,11.0,64.0,2019-03-10 10:00:00,2019-03-10 10:00:00
67.0,79.0,1.51,29.0,11.0,70.0,2019-03-10 11:00:00,2019-03-10 11:00:00
52.0,69.0,1.26,22.0,11.0,82.0,2019-03-10 12:00:00,2019-03-10 12:00:00
44.0,51.0,1.84,31.0,11.0,87.0,2019-03-10 13:00:00,2019-03-10 13:00:00
